n_number,mfr_mdl_code,year_manufactured,aircraft_type_code,engine_type_code,certification_code,registration_status,cert_issue_date,expiration_date,owner_state,owner_country
1004Z,05601NB,1963.0,4,1,42,V,2011-11-16,2027-11-30,FL,US
10050,2071826,,4,1,1U,V,2023-08-26,2030-08-31,IN,US
10051,2071826,1973.0,4,1,1U,V,2022-09-20,2029-09-30,TX,US
10057,3840102,1929.0,4,1,43,V,2016-05-03,2029-05-31,SC,US
10059,05627TK,2009.0,4,7,42,V,2025-07-28,2032-07-31,VA,US
1005A,0600005,,4,8,9A,V,2023-01-07,2030-01-31,NC,US
1005B,7104605,1987.0,4,1,1N,V,2014-01-28,2030-01-31,OR,US
1005C,05614K3,2005.0,4,1,42,V,2002-07-05,2027-12-31,MI,US
1005D,2073110,,4,1,UNKNOWN,V,2017-12-01,2027-12-31,TN,US
1005E,1220801,1977.0,4,1,1N,V,1995-10-31,2028-07-31,CT,US
1005F,2072821,1975.0,4,1,1N,V,2025-01-29,2032-01-31,AK,US
1005H,0191202,1948.0,4,1,1,V,1986-12-03,2029-01-31,SC,US
1005K,8190104,1946.0,4,1,1,V,1972-05-25,2027-07-31,MN,US
1005L,5110302,1960.0,4,1,1,V,2008-11-21,2028-10-31,FL,US
1005N,0390204,1988.0,4,1,31,V,2014-09-25,2027-09-30,SD,US
1005U,5870220,1989.0,4,1,1N,V,2015-02-10,2028-02-29,IN,US
1005V,0390205,1988.0,4,2,31,V,2016-09-22,2029-09-30,NE,US
1005X,5870222,2000.0,4,1,1N,V,2008-01-22,2029-04-30,NM,US
10065,1180802,1949.0,6,1,31,V,2020-01-28,2030-01-31,IA,US
10066,05611Z0,,4,1,42,V,2024-07-20,2031-07-31,FL,US
10067,8680615,1972.0,6,3,312,V,2024-04-30,2031-04-30,MT,US
10068,2071826,1973.0,4,1,1U,V,1991-09-06,2028-09-30,WA,US
10069,5460186,1996.0,4,1,1N,V,2010-12-14,2029-12-31,MD,US
1006E,1220803,1977.0,4,1,1N,V,2021-09-27,2028-09-30,TX,US
1006L,05620R2,2005.0,4,1,48A,V,2019-02-04,2029-02-28,IL,US
1006Q,0565572,1979.0,4,1,42,V,2013-08-21,2029-08-31,MI,US
1006U,5870219,1993.0,4,1,1N,V,2025-04-07,2032-04-30,CO,US
1006V,2072439,2005.0,4,1,1NU,V,2011-05-25,2027-05-31,GA,US
1006W,5870219,1980.0,4,1,1N,V,2010-12-08,2029-12-31,  ,  
1006Y,0390303,,4,2,31,V,2025-04-30,2032-04-30,TX,US
1007,05617KU,2005.0,4,1,42,V,2023-02-06,2030-02-28,FL,US
10070,2071826,,4,1,1N,V,2012-11-19,2028-11-30,NJ,US
10072,2071826,,4,1,1U,V,2014-08-19,2027-08-31,OH,US
10073,2071826,1973.0,4,1,1U,V,2019-06-11,2029-06-30,ID,US
10074,5870219,,4,1,1,V,2017-11-28,2027-11-30,MI,US
10075,2071826,1973.0,4,1,1U,V,2023-03-14,2030-03-31,CA,US
10076,2071826,1973.0,4,1,1U,V,2015-07-30,2028-07-31,VA,US
10077,2071826,1973.0,4,1,1U,V,2024-03-18,2031-03-31,TX,US
10078,0390307,2013.0,4,2,314,V,2021-06-16,2028-06-30,MT,US
10079,5870225,2002.0,4,1,1N,V,2003-07-22,2027-10-31,FL,US
1007B,056386R,2020.0,4,4,42,V,2020-04-22,2030-04-30,IN,US
1007C,3990100,1992.0,4,1,1NU,V,2024-05-29,2031-05-31,FL,US
1007E,2076710,2020.0,5,5,1T,V,2025-08-21,2032-08-31,AZ,US
1007F,1152706,1968.0,5,1,1N,V,2023-06-12,2030-06-30,DE,US
1007G,1145005,2022.0,6,3,1N,V,2023-02-16,2030-02-28,DC,US
1007L,7102813,,4,1,1N,V,2017-03-14,2030-03-31,GA,US
1007N,5870219,1981.0,4,1,1N,V,2024-06-04,2031-06-30,MN,US
1007P,05613TP,1986.0,4,1,42,V,2005-02-25,2029-08-31,IL,US
1007R,5870220,,4,1,1N,V,2014-03-24,2027-03-31,VA,US
1007S,4220006,2007.0,5,5,1N,V,2021-03-08,2028-03-31,FL,US
1007T,2075816,1973.0,4,1,1N,V,2013-11-18,2029-11-30,NC,US
1007U,5460109,1998.0,4,1,1N,V,1998-11-17,2028-10-31,AK,US
1007V,1220437,,4,1,1N,V,2025-07-07,2032-07-31,MT,US
1007W,0390303,1988.0,4,2,31,V,2024-08-23,2031-08-31,MO,US
1007X,7103406,,5,1,1N,V,2021-03-15,2028-03-31,TX,US
1007Y,05645QW,,4,1,42,V,2023-01-18,2030-01-31,WA,US
10082,2071826,1973.0,4,1,1U,V,1980-06-20,2027-10-31,KS,US
10084,059007R,2003.0,7,7,48A,V,2025-05-06,2032-05-31,HI,US
10085,2071826,,4,1,1U,V,2021-01-25,2028-01-31,GA,US
10086,2071826,1973.0,4,1,1U,V,2007-06-29,2027-08-31,FL,US
10089,2071826,1973.0,4,1,1U,V,2024-07-16,2031-07-31,CA,US
1008A,207590K,1967.0,5,1,1N,V,2000-10-06,2028-08-31,CO,US
1008B,05625Q9,,4,1,UNKNOWN,V,2022-09-22,2029-09-30,PA,US
1008C,5870219,1981.0,4,1,1N,V,2012-10-12,2028-10-31,MN,US
1008D,2073110,1950.0,4,1,1,V,2025-08-08,2032-08-31,MT,US
1008E,1220460,,4,1,1N,V,2022-09-19,2029-09-30,OK,US
1008F,0390303,1988.0,4,2,31,V,2021-07-28,2028-07-31,DE,US
1008J,059007Q,1997.0,4,1,48A,V,2018-11-06,2028-11-30,CA,US
1008K,3990100,,4,1,1NU,V,2022-09-24,2029-09-30,CA,US
1008L,5870219,1981.0,4,1,1N,V,2014-03-11,2030-03-31,OH,US
1008M,2072432,1970.0,4,1,1N,V,2013-03-04,2029-03-31,PA,US
1008N,7102308,1973.0,5,1,UNKNOWN,V,2019-12-19,2029-12-31,IN,US
1008Q,0390204,1988.0,4,1,31,V,2025-09-15,2032-09-30,ND,US
1008R,5870226,2000.0,4,1,1N,V,2021-07-31,2028-07-31,FL,US
1008W,5460109,,4,1,1N,V,2013-05-08,2029-05-31,WY,US
1008X,7102805,1975.0,4,1,1N,V,2023-11-09,2030-11-30,AK,US
1008Z,83501JH,1961.0,4,1,42,V,2013-07-15,2029-07-31,WA,US
1009,056344T,2019.0,4,1,42,V,2016-09-12,2029-09-30,AL,US
10090,06102JS,,6,10,UNKNOWN,V,2025-09-02,2032-09-30,NE,US
10091,056203C,2007.0,4,7,42,V,2005-12-06,2029-01-31,NM,US
10092,2071826,1973.0,4,1,1U,V,2020-03-30,2030-03-31,GA,US
10096,2071826,1973.0,4,1,1U,V,2024-09-25,2031-09-30,FL,US
10098,2071826,1973.0,4,1,1U,V,2021-07-10,2028-07-31,WA,US
1009A,7101802,1950.0,4,1,1NU,V,2002-06-03,2028-01-31,AK,US
1009C,5870219,1981.0,4,1,1N,V,2018-03-21,2028-03-31,NC,US
1009D,2073110,1950.0,4,1,1,V,2017-07-05,2027-07-31,CA,US
1009E,1220701,1977.0,4,1,1N,V,2010-12-13,2029-12-31,IN,US
1009F,8380307,2019.0,4,2,310,V,2022-08-05,2029-08-31,MS,US
1009G,05614K4,2003.0,4,1,42,V,2002-07-05,2027-11-30,OH,US
1009H,0191202,1948.0,4,1,1,V,2012-06-21,2028-06-30,AK,US
1009L,0390303,1989.0,4,2,31,V,2019-06-26,2029-06-30,GA,US
1009M,5870225,2002.0,4,1,1N,V,2024-03-19,2031-03-31,FL,US
1009P,2072704,1958.0,4,1,1,V,2003-09-19,2028-05-31,CA,US
1009Q,2074220,1962.0,5,1,1,V,2014-02-28,2030-02-28,CO,US
1009R,056183N,,4,1,UNKNOWN,V,2024-11-06,2031-11-30,FL,US
1009X,7102808,1975.0,4,1,1N,V,1990-01-19,2029-04-30,CA,US
1009Z,97902YS,1963.0,4,1,42,V,2017-03-15,2030-03-31,WI,US
100A,3980050,2023.0,5,5,1T,V,2023-12-04,2030-12-31,TX,US
100AB,4300802,1974.0,4,1,1N,V,2017-05-25,2027-05-31,LA,US
100AC,1390009,2002.0,5,5,1T,V,2013-03-07,2029-03-31,VA,US
100AE,7103215,1978.0,4,1,1N,V,2024-12-18,2031-12-31,NE,US
100AF,7090463,,4,2,UNKNOWN,V,2025-11-24,2032-11-30,CO,US
100AG,7150012,2005.0,5,5,1T,V,2021-02-09,2028-02-29,KS,US
100AH,2075816,,4,1,1N,V,2025-12-10,2032-12-31,AR,US
100AJ,2076014,1972.0,5,1,1N,V,2017-01-04,2030-01-31,IL,US
100AK,4500314,2016.0,5,5,1T,V,2021-01-27,2028-01-31,  ,  
100AL,3980050,2020.0,5,5,1T,V,2020-09-30,2027-09-30,  ,  
100AM,7320005,2018.0,4,2,1N,V,2026-01-08,2033-01-31,AZ,US
100AN,1151548,1977.0,4,1,1U,V,2022-05-21,2029-05-31,TX,US
100AP,2802606,1967.0,5,2,1N,V,2011-08-11,2027-08-31,NV,US
100AR,2076702,2002.0,5,5,1T,V,2004-06-22,2028-01-31,NH,US
100AS,2720302,1969.0,5,5,1N,V,2022-12-06,2029-12-31,MI,US
100AT,056266I,1980.0,6,3,1N,V,2018-02-28,2028-02-29,CA,US
100AW,2072402,1956.0,4,1,1,V,2020-05-01,2027-05-31,TX,US
100AX,2730172,1995.0,5,5,1T,V,2015-02-19,2028-02-29,NE,US
100AZ,2076016,,5,1,1N,V,2025-11-14,2032-11-30,TX,US
100BA,1154002,1968.0,5,2,1N,V,2019-02-28,2029-02-28,MN,US
100BD,1390052,,5,5,UNKNOWN,V,2025-12-05,2032-12-31,UT,US
100BE,7150007,2004.0,5,2,1C,V,2004-09-30,2028-04-30,WI,US
100BF,3021481,,5,1,UNKNOWN,V,1997-12-16,2029-01-31,WI,US
100BH,1153402,1958.0,5,1,1,V,2025-10-17,2032-10-31,IL,US
100BJ,7103212,1966.0,4,1,1N,V,2009-03-02,2029-10-31,FL,US
100BQ,06001DD,,4,8,UNKNOWN,V,2025-11-03,2032-11-30,FL,US
100BR,1152909,1981.0,5,2,1N,V,2022-05-06,2029-05-31,AL,US
100BS,7102308,1966.0,5,1,1N,V,2014-05-13,2027-05-31,WA,US
100BT,069002L,2024.0,4,8,9A,V,2025-02-17,2032-02-29,GA,US
100BU,2999006,1997.0,4,1,42,V,2025-03-05,2032-03-31,PA,US
100BV,7103812,1978.0,4,8,1NU,V,2022-08-17,2029-08-31,NC,US
100BW,2800202,1954.0,4,1,1N,V,2012-04-03,2028-04-30,AK,US
100BY,5780460,1984.0,5,2,1N,V,2015-03-27,2028-03-31,TX,US
100BZ,1152930,1984.0,5,2,1N,V,2021-01-11,2028-01-31,DE,US
100C,056064Q,2001.0,4,1,42,V,2018-02-09,2028-02-29,MT,US
100CA,2072732,1978.0,4,1,1N,V,2024-09-19,2031-09-30,IN,US
100CB,2076616,2009.0,5,5,1C,V,2019-12-06,2029-12-31,NC,US
100CC,2076018,1982.0,5,2,1N,V,2015-01-23,2028-01-31,IA,US
100CD,05616GT,1994.0,4,1,42,V,1999-08-24,2028-04-30,TN,US
100CE,3021710,1953.0,5,1,1T,V,2010-03-05,2029-10-31,AK,US
100CF,5780407,1972.0,5,2,1,V,2023-04-14,2030-04-30,GA,US
100CG,2072418,1972.0,4,8,1,V,1973-03-12,2029-10-31,NJ,US
100CJ,2076702,2000.0,5,5,1T,V,2023-04-03,2030-04-30,KY,US
100CN,7102308,,5,1,1N,V,2025-12-17,2032-12-31,TN,US
100CR,8190110,1947.0,4,1,1,V,2005-12-08,2029-04-30,WA,US
100CS,05902GY,2007.0,4,7,42,V,2020-12-16,2027-12-31,FL,US
100CU,2730101,1977.0,5,5,1T,V,2007-01-11,2029-04-30,TX,US
100CW,1690424,1979.0,4,1,42,V,2016-09-07,2029-09-30,CA,US
100CX,2075907,1980.0,5,1,1N,V,2023-09-15,2030-09-30,TX,US
100DA,05634V3,2018.0,5,8,1N,V,2021-03-05,2028-03-31,UT,US
100DB,2073456,1980.0,4,1,1N,V,1992-06-22,2027-07-31,WI,US
100DC,5760102,1974.0,1,0,1G,V,2023-12-11,2030-12-31,WY,US
100DD,7830507,1948.0,4,1,1N,V,2019-03-26,2029-03-31,CO,US
100DE,1181579,,6,3,UNKNOWN,V,2022-06-27,2029-06-30,AL,US
100DF,056264Q,2008.0,4,8,42,V,2015-11-05,2028-11-30,TX,US
100DG,2130004,2024.0,4,1,1N,V,2024-08-01,2031-08-31,DE,US
100DK,05631NC,2012.0,5,4,42,V,2019-11-07,2029-11-30,WA,US
100DM,056425D,,4,1,UNKNOWN,V,2025-05-05,2032-05-31,CO,US
100DP,1220801,1973.0,4,1,1,V,2023-01-19,2030-01-31,TX,US
100DQ,05623ZE,1994.0,4,1,42,V,2011-08-31,2027-08-31,WY,US
100DR,1152746,1976.0,5,1,1N,V,1992-07-22,2028-03-31,OK,US
100DS,2076604,1990.0,5,5,1T,V,2015-03-12,2028-03-31,OR,US
100DT,056364S,2019.0,7,8,42,V,2018-11-03,2028-11-30,NV,US
100DV,05627P7,2009.0,4,8,42,V,2016-10-18,2029-10-31,NC,US
100DX,5870225,1996.0,4,1,1N,V,2025-11-25,2032-11-30,CO,US
100DZ,2073322,1966.0,4,1,1N,V,2010-01-15,2029-10-31,CA,US
100EC,1152932,1990.0,5,2,1C,V,2023-03-09,2030-03-31,TX,US
100ED,3980219,2020.0,5,5,1T,V,2020-07-13,2027-07-31,MT,US
100EE,7640122,2006.0,6,1,6131,V,2025-03-03,2032-03-31,TX,US
100EF,05612K4,2002.0,4,1,42,V,2002-01-07,2029-04-30,MN,US
100EL,2074242,,5,1,1N,V,2022-07-07,2029-07-31,DE,US
100EM,7103110,1981.0,5,1,1N,V,2025-09-20,2032-09-30,NC,US
100EP,05608YH,,4,1,UNKNOWN,V,2023-01-13,2030-01-31,IA,US
100ER,4220042,2016.0,5,1,1N,V,2020-12-14,2027-12-31,MO,US
100ES,3980050,2011.0,5,5,1T,V,2013-03-20,2029-03-31,  ,  
100EU,7102807,2021.0,4,1,1N,V,2021-09-15,2028-09-30,NM,US
100EV,6960206,2022.0,5,2,1N,V,2023-02-06,2030-02-28,DE,US
100EW,3980205,2007.0,5,5,1T,V,2025-10-06,2032-10-31,TX,US
100EX,3260402,2010.0,5,5,1N,V,2025-02-28,2032-02-29,DE,US
100F,3952704,1972.0,4,1,831,V,2019-10-30,2029-10-31,ND,US
100FA,2071826,1971.0,4,1,1U,V,2022-12-15,2029-12-31,WV,US
100FB,1151530,1963.0,4,1,1U,V,2021-12-28,2028-12-31,MT,US
100FF,3260402,2010.0,5,5,1N,V,2022-04-26,2029-04-30,AZ,US
100FG,326040C,2011.0,5,5,1C,V,2011-12-27,2027-12-31,FL,US
100FH,056228N,1993.0,1,0,42,V,2023-10-27,2030-10-31,WA,US
100FJ,2730101,,5,5,1T,V,2024-02-22,2031-02-28,IL,US
100FK,5170805,2000.0,5,5,1T,V,2024-09-04,2031-09-30,DE,US
100FL,1390009,2001.0,5,5,1T,V,2024-10-01,2031-10-31,CA,US
100FM,1152730,1969.0,5,1,1N,V,2012-12-03,2028-12-31,FL,US
100FN,4220001,2008.0,5,5,1T,V,2015-03-16,2028-03-31,PA,US
100FP,2075816,1974.0,4,1,1,V,2022-07-14,2029-07-31,CA,US
100FR,2130001,2003.0,4,1,1N,V,2024-09-04,2031-09-30,  ,DE
100FV,8140310,2019.0,6,3,41,V,2021-12-07,2028-12-31,CT,US
100FX,3980221,2024.0,5,5,1T,V,2025-01-03,2032-01-31,OH,US
100FY,05902VH,,4,7,48A,V,2007-06-19,2027-07-31,UT,US
100GB,05623GU,1993.0,4,1,42,V,1996-09-18,2028-05-31,WI,US
100GC,05630X8,2012.0,6,1,42,V,2023-12-12,2030-12-31,OH,US
100GD,2072779,2024.0,4,2,1N,V,2024-10-01,2031-10-31,NH,US
100GF,7104605,1986.0,4,1,1N,V,2017-02-13,2030-02-28,WA,US
100GG,2076603,1977.0,5,5,1,V,2024-02-19,2031-02-28,TX,US
100GH,05629V3,2010.0,4,1,42,V,2010-08-03,2028-05-31,TX,US
100GJ,2240101,1995.0,4,1,1N,V,2025-05-02,2032-05-31,KY,US
100GK,2073449,1973.0,4,1,1N,V,2000-07-06,2027-11-30,MO,US
100GL,9600427,2021.0,4,1,1A,V,2024-02-15,2031-02-28,MI,US
100GM,1152706,1968.0,5,1,1N,V,2023-06-06,2030-06-30,GA,US
100GN,8680991,2009.0,6,3,1T,V,2016-11-09,2029-11-30,TX,US
100GP,4220017,2011.0,5,2,1N,V,2019-11-26,2029-11-30,DE,US
100GQ,2470001,2010.0,4,1,1N,V,2010-04-16,2030-01-31,UT,US
100GR,0565115,,4,1,42,V,2024-09-13,2031-09-30,CA,US
100GS,1153605,1974.0,5,1,1N,V,2017-02-16,2027-02-28,CA,US
100GT,2130001,2022.0,4,1,1N,V,2025-12-05,2032-12-31,CA,US
100GX,4500304,2007.0,5,5,1T,V,2019-02-05,2029-02-28,UT,US
100GZ,2076814,2021.0,5,5,1T,V,2024-10-23,2031-10-31,WY,US
100HB,3980203,2006.0,5,5,1T,V,2024-12-05,2031-12-31,UT,US
100HD,7104605,1985.0,4,1,1N,V,2025-09-26,2032-09-30,WI,US
100HF,06102D3,,6,10,UNKNOWN,V,2024-01-08,2031-01-31,KY,US
100HG,3980116,2000.0,5,5,1T,V,2015-08-25,2028-08-31,MO,US
100HH,0600080,2025.0,4,8,9A,V,2025-07-09,2032-07-31,FL,US
100HJ,2076404,1974.0,5,1,1N,V,2018-03-12,2028-03-31,TX,US
100HK,05644RL,1989.0,4,1,42,V,2025-07-07,2032-07-31,NE,US
100HL,7150012,1997.0,5,5,1T,V,2023-11-06,2030-11-30,TX,US
100HM,2076405,1978.0,5,1,1N,V,2012-04-02,2028-04-30,WI,US
100HN,5620040,2025.0,6,3,1N,V,2025-08-20,2032-08-31,WV,US
100HP,1152746,1980.0,5,1,1N,V,2006-02-02,2029-07-31,MS,US
100HS,7150001,,4,1,UNKNOWN,V,2021-06-08,2028-06-30,DE,US
100HT,1181008,2010.0,6,1,1N,V,2016-07-18,2029-07-31,AZ,US
100HU,2210400,1996.0,4,1,1N,V,2023-12-01,2030-12-31,ID,US
100HW,7102807,2025.0,4,1,1NU,V,2025-07-03,2032-07-31,IN,US
100HX,2072703,2008.0,4,1,1N,V,2023-02-17,2030-02-28,DE,US
100HY,2210406,,4,1,UNKNOWN,V,2016-08-08,2029-08-31,MN,US
100J,7090453,2019.0,5,5,1C,V,2024-08-17,2031-08-31,CA,US
100JA,7090552,2007.0,4,2,1N,V,2018-07-02,2028-07-31,FL,US
100JB,2130001,2024.0,4,1,1N,V,2024-11-21,2031-11-30,SC,US
100JC,2130004,2017.0,4,1,1N,V,2017-06-20,2027-06-30,FL,US
100JD,2075907,1981.0,5,1,1N,V,2021-03-22,2028-03-31,TN,US
100JF,05617YD,2005.0,4,2,1N,V,2022-10-17,2029-10-31,DE,US
100JG,7103218,1988.0,4,1,1N,V,2016-12-27,2029-12-31,MN,US
100JH,2074242,1971.0,5,1,1N,V,2016-04-18,2029-04-30,MS,US
100JL,2076010,,5,1,1,V,2024-10-01,2031-10-31,NY,US
100JM,5870108,1953.0,4,1,1,V,2004-03-30,2029-10-31,CO,US
100JP,1152740,,5,1,1N,V,2024-06-11,2031-06-30,MI,US
100JR,7103102,1969.0,5,1,1N,V,2010-08-04,2028-02-29,VA,US
100JT,5261402,,5,1,1N,V,2022-02-03,2029-02-28,AZ,US
100JV,05631HW,2012.0,4,1,42,V,2015-02-19,2028-02-29,MI,US
100JW,2076616,2006.0,5,5,1C,V,2022-03-17,2029-03-31,KY,US
100JY,056381E,,6,10,UNKNOWN,V,2020-01-29,2027-01-31,MA,US
100K,2072414,1965.0,4,1,1NU,V,2009-11-18,2028-12-31,DE,US
100KA,2073303,2006.0,4,1,1N,V,2021-08-17,2028-08-31,NY,US
100KB,1152913,1979.0,5,2,1N,V,2015-09-23,2028-09-30,ND,US
